gamePk,team_side,team_id,team_name,avg_last_5,ops_last_5,hr_rate_last_5,strikeout_rate_last_5,walk_rate_last_5,stolen_success_last_5
745444,away,119,Los Angeles Dodgers,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.5
745444,home,135,San Diego Padres,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.5
746175,away,135,San Diego Padres,0.133,0.368,0.0,6.0,4.0,0.5
746175,home,119,Los Angeles Dodgers,0.212,0.59,0.0,7.0,9.0,0.0
747060,away,108,Los Angeles Angels,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.5
747060,home,110,Baltimore Orioles,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.5
746737,away,120,Washington Nationals,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.5
746737,home,113,Cincinnati Reds,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.5
745445,away,137,San Francisco Giants,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.625
745445,home,135,San Diego Padres,0.217,0.585,0.5,7.0,5.0,0.6666666666666666
746165,away,138,St. Louis Cardinals,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.8333333333333334
746165,home,119,Los Angeles Dodgers,0.2595,0.6990000000000001,0.5,8.0,7.5,0.8571428571428571
745116,away,141,Toronto Blue Jays,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.875
745116,home,139,Tampa Bay Rays,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,1.0
746335,away,142,Minnesota Twins,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,1.0
746335,home,118,Kansas City Royals,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,1.0
746821,away,116,Detroit Tigers,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.6666666666666666
746821,home,145,Chicago White Sox,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.75
746089,away,134,Pittsburgh Pirates,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.8333333333333334
746089,home,146,Miami Marlins,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.8571428571428571
746418,away,147,New York Yankees,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.875
746418,home,117,Houston Astros,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.9333333333333333
745039,away,112,Chicago Cubs,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,1.0
745039,home,140,Texas Rangers,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,1.0
745687,away,114,Cleveland Guardians,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.75
745687,home,133,Oakland Athletics,0.24157270149858243,0.7049771162413933,0.0,0.0,0.0,0.3333333333333333
